id,URL,sentence
1,https://en.wikinews.org/wiki/Scientists_say_new_medical_diagnostic_chip_can_sort_cells_anywhere_with_an_inkjet,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each."
2,https://en.wikinews.org/wiki/Scientists_say_new_medical_diagnostic_chip_can_sort_cells_anywhere_with_an_inkjet,"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries."
3,https://en.wikinews.org/wiki/Fighter_jet_crashes_during_Children%27s_Day_airshow_in_Thailand,"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights."
4,https://en.wikinews.org/wiki/Fighter_jet_crashes_during_Children%27s_Day_airshow_in_Thailand,The pilot was identified as Squadron Leader Dilokrit Pattavee.
5,https://en.wikinews.org/wiki/Fighter_jet_crashes_during_Children%27s_Day_airshow_in_Thailand,Local media reports an airport fire vehicle rolled over while responding.
6,https://en.wikinews.org/wiki/Spanish_football:_Sevilla_signs_Aleix_Vidal_from_FC_Barcelona,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla."
7,https://en.wikinews.org/wiki/Spanish_football:_Sevilla_signs_Aleix_Vidal_from_FC_Barcelona,"Since moving to the Catalan-capital, Vidal had played 49 games for the club."
8,https://en.wikinews.org/wiki/Thousands_march_in_London_calling_for_David_Cameron%27s_resignation_over_tax_affairs,"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence."
9,https://en.wikinews.org/wiki/Thousands_march_in_London_calling_for_David_Cameron%27s_resignation_over_tax_affairs,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall."
10,https://en.wikinews.org/wiki/Thousands_march_in_London_calling_for_David_Cameron%27s_resignation_over_tax_affairs,"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up."
11,https://en.wikinews.org/wiki/Thousands_march_in_London_calling_for_David_Cameron%27s_resignation_over_tax_affairs,"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel."
12,https://en.wikinews.org/wiki/Nadal_beats_Raonic_to_reach_Australian_Open_semis,Nadal's head to head record against the Canadian is 7–2.
13,https://en.wikinews.org/wiki/Nadal_beats_Raonic_to_reach_Australian_Open_semis,He recently lost against Raonic in the Brisbane Open.
14,https://en.wikinews.org/wiki/Nadal_beats_Raonic_to_reach_Australian_Open_semis,Nadal bagged 88% net points in the match winning 76 points in the first serve.
15,https://en.wikinews.org/wiki/Nadal_beats_Raonic_to_reach_Australian_Open_semis,"After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this."""
16,https://en.wikinews.org/wiki/Investigation_of_Deutsche_Bank_headquarters_spills_into_second_day,"""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016."
17,https://en.wikinews.org/wiki/Investigation_of_Deutsche_Bank_headquarters_spills_into_second_day,The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.
18,https://en.wikinews.org/wiki/Investigation_of_Deutsche_Bank_headquarters_spills_into_second_day,British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.
19,https://en.wikinews.org/wiki/Investigation_of_Deutsche_Bank_headquarters_spills_into_second_day,"There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan both resigned."
20,https://en.wikinews.org/wiki/Ma_Ying-jeou_wins_2008_Taiwan_presidential_election,"Born in Hong Kong, Ma studied at New York University and Harvard Law School and once held an American permanent resident ""green card""."
21,https://en.wikinews.org/wiki/Ma_Ying-jeou_wins_2008_Taiwan_presidential_election,Hsieh implied during the election that Ma might flee the country during a time of crisis.
22,https://en.wikinews.org/wiki/Ma_Ying-jeou_wins_2008_Taiwan_presidential_election,Hsieh also argued that the photogenic Ma was more style than substance.
23,https://en.wikinews.org/wiki/Ma_Ying-jeou_wins_2008_Taiwan_presidential_election,"Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland."
24,"https://en.wikinews.org/wiki/National_Hockey_League_news:_March_22,_2008",Today's Player of the Day is Alex Ovechkin of the Washington Capitals.
25,"https://en.wikinews.org/wiki/National_Hockey_League_news:_March_22,_2008",He had 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.
26,"https://en.wikinews.org/wiki/National_Hockey_League_news:_March_22,_2008",Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;
